Data,Último,Abertura,Máxima,Mínima,Variacao (%)
2015-01-05,47517.0,48512.0,48512.0,47264.0,-0.0205
2015-01-06,48001.0,47517.0,48061.0,47338.0,0.0102
2015-01-07,49463.0,48006.0,49882.0,48006.0,0.0305
2015-01-08,49943.0,49463.0,50261.0,49017.0,0.0097
2015-01-09,48840.0,49955.0,49955.0,48501.0,-0.0221
2015-01-12,48140.0,48840.0,48840.0,47956.0,-0.0143
2015-01-13,48042.0,48144.0,48939.0,48042.0,-0.002
2015-01-14,47646.0,48038.0,48281.0,47372.0,-0.0082
2015-01-15,48026.0,47648.0,48853.0,47648.0,0.008
2015-01-16,49017.0,48028.0,49264.0,48028.0,0.0206
2015-01-19,47758.0,49009.0,49009.0,47503.0,-0.0257
2015-01-20,47877.0,47759.0,48687.0,47619.0,0.0025
2015-01-21,49224.0,47888.0,49329.0,47888.0,0.0281
2015-01-22,49443.0,49227.0,50281.0,49227.0,0.0044
2015-01-23,48775.0,49432.0,49523.0,48496.0,-0.0135
2015-01-26,48577.0,48712.0,48712.0,48004.0,-0.0041
2015-01-27,48591.0,48577.0,48864.0,47352.0,0.0003
2015-01-28,47695.0,48589.0,48589.0,47550.0,-0.0184
2015-01-29,47762.0,47696.0,47894.0,47007.0,0.0014
2015-01-30,46908.0,47759.0,47759.0,46484.0,-0.0179
2015-02-02,47651.0,46933.0,47684.0,46760.0,0.0158
2015-02-03,48964.0,47664.0,48993.0,47664.0,0.0276
2015-02-04,49301.0,48965.0,49718.0,48214.0,0.0069
2015-02-05,49234.0,49299.0,49816.0,49020.0,-0.0014
2015-02-06,48792.0,49231.0,49231.0,48209.0,-0.009
2015-02-09,49383.0,48792.0,49522.0,48416.0,0.0121
2015-02-10,48510.0,49359.0,49799.0,48510.0,-0.0177
2015-02-11,48240.0,48508.0,48762.0,47841.0,-0.0056
2015-02-12,49533.0,48240.0,49690.0,48240.0,0.0268
2015-02-13,50636.0,49546.0,50726.0,49476.0,0.0223
2015-02-18,51280.0,50639.0,51868.0,50639.0,0.0127
2015-02-19,51294.0,51281.0,51638.0,50870.0,0.0003
2015-02-20,51238.0,51301.0,51450.0,50711.0,-0.0011
2015-02-23,51281.0,51238.0,51690.0,50861.0,0.0008
2015-02-24,51874.0,51288.0,51956.0,51049.0,0.0116
2015-02-25,51811.0,51863.0,51863.0,51051.0,-0.0012
2015-02-26,51761.0,51812.0,51922.0,51181.0,-0.001
2015-02-27,51583.0,51760.0,52457.0,51474.0,-0.0034
2015-03-02,51021.0,51580.0,51580.0,50775.0,-0.0109
2015-03-03,51304.0,51021.0,51432.0,50995.0,0.0055
2015-03-04,50468.0,51303.0,51303.0,50399.0,-0.0163
2015-03-05,50365.0,50472.0,50734.0,50114.0,-0.002
2015-03-06,49981.0,50355.0,50401.0,49779.0,-0.0076
2015-03-09,49181.0,49978.0,49978.0,48952.0,-0.016
2015-03-10,48293.0,49177.0,49177.0,48293.0,-0.0181
2015-03-11,48906.0,48309.0,48937.0,48309.0,0.0127
2015-03-12,48880.0,48908.0,49633.0,48684.0,-0.0005
2015-03-13,48596.0,48858.0,48858.0,47905.0,-0.0058
2015-03-16,48848.0,48602.0,49205.0,48394.0,0.0052
2015-03-17,50285.0,48849.0,50384.0,48841.0,0.0294
2015-03-18,51526.0,50284.0,51773.0,49788.0,0.0247
2015-03-19,50954.0,51530.0,51547.0,50791.0,-0.0111
2015-03-20,51967.0,50964.0,52286.0,50964.0,0.0199
2015-03-23,51908.0,51970.0,52178.0,51516.0,-0.0011
2015-03-24,51506.0,51908.0,52223.0,51006.0,-0.0077
2015-03-25,51858.0,51507.0,52319.0,51507.0,0.0068
2015-03-26,50580.0,51835.0,51835.0,50528.0,-0.0246
2015-03-27,50095.0,50575.0,50575.0,49909.0,-0.0096
2015-03-30,51243.0,50100.0,51265.0,50100.0,0.0229
2015-03-31,51150.0,51243.0,51466.0,50612.0,-0.0018
2015-04-01,52322.0,51186.0,52613.0,51186.0,0.0229
2015-04-02,53123.0,52322.0,53312.0,52322.0,0.0153
2015-04-06,53737.0,53124.0,54146.0,53122.0,0.0116
2015-04-07,53729.0,53738.0,54002.0,53436.0,-0.0001
2015-04-08,53661.0,53732.0,54458.0,53508.0,-0.0013
2015-04-09,53803.0,53638.0,54002.0,53292.0,0.0026
2015-04-10,54214.0,53803.0,54413.0,53556.0,0.0076
2015-04-13,54240.0,54214.0,54866.0,54004.0,0.0005
2015-04-14,53982.0,54240.0,54625.0,53773.0,-0.0048
2015-04-15,54919.0,54037.0,54960.0,54037.0,0.0174
2015-04-16,54674.0,54919.0,54919.0,54316.0,-0.0045
2015-04-17,53955.0,54672.0,54672.0,53896.0,-0.0132
2015-04-20,53761.0,53965.0,54385.0,53510.0,-0.0036
2015-04-22,54617.0,53762.0,54848.0,53762.0,0.0159
2015-04-23,55685.0,54616.0,55782.0,54064.0,0.0196
2015-04-24,56594.0,55687.0,56965.0,55687.0,0.0163
2015-04-27,55534.0,56554.0,56962.0,55515.0,-0.0187
2015-04-28,55812.0,55549.0,56018.0,54973.0,0.005
2015-04-29,55325.0,55809.0,55809.0,55067.0,-0.0087
2015-04-30,56229.0,55312.0,56229.0,55080.0,0.0163
2015-05-04,57354.0,56230.0,57520.0,56230.0,0.02
2015-05-05,58052.0,57350.0,58147.0,57096.0,0.0122
2015-05-06,57103.0,58050.0,58575.0,56820.0,-0.0163
2015-05-07,56921.0,57103.0,57290.0,56507.0,-0.0032
2015-05-08,57149.0,56965.0,57621.0,56595.0,0.004
2015-05-11,57197.0,57166.0,57490.0,57013.0,0.0008
2015-05-12,56792.0,57193.0,57424.0,56753.0,-0.0071
2015-05-13,56372.0,56790.0,56900.0,56199.0,-0.0074
2015-05-14,56657.0,56376.0,56921.0,56105.0,0.0051
2015-05-15,57249.0,56656.0,57288.0,56422.0,0.0104
2015-05-18,56204.0,57250.0,57606.0,55926.0,-0.0183
2015-05-19,55499.0,56204.0,56212.0,55027.0,-0.0125
2015-05-20,54901.0,55497.0,55645.0,54820.0,-0.0108
2015-05-21,55112.0,54900.0,55112.0,54526.0,0.0038
2015-05-22,54377.0,55112.0,55223.0,54038.0,-0.0133
2015-05-25,54609.0,54378.0,54868.0,53972.0,0.0043
2015-05-26,53630.0,54609.0,54609.0,53548.0,-0.0179
2015-05-27,54236.0,53631.0,54293.0,53136.0,0.0113
2015-05-28,53976.0,54230.0,54230.0,53363.0,-0.0048
2015-05-29,52760.0,53974.0,53974.0,52760.0,-0.0225
2015-06-01,53031.0,52753.0,53233.0,52666.0,0.0051
2015-06-02,54236.0,53035.0,54236.0,53035.0,0.0227
2015-06-03,53523.0,54254.0,54254.0,53462.0,-0.0131
2015-06-05,52973.0,53518.0,53518.0,52808.0,-0.0103
2015-06-08,52810.0,52975.0,53325.0,52810.0,-0.0031
2015-06-09,52816.0,52810.0,53292.0,52688.0,0.0001
2015-06-10,53876.0,52817.0,54102.0,52817.0,0.0201
2015-06-11,53689.0,53876.0,54271.0,53444.0,-0.0035
2015-06-12,53348.0,53689.0,53689.0,53033.0,-0.0064
2015-06-15,53138.0,53338.0,53338.0,52548.0,-0.0039
2015-06-16,53702.0,53144.0,53969.0,53107.0,0.0106
2015-06-17,53249.0,53698.0,53755.0,52965.0,-0.0084
2015-06-18,54239.0,53251.0,54352.0,53214.0,0.0186
2015-06-19,53749.0,54236.0,54236.0,53479.0,-0.009
2015-06-22,53864.0,53750.0,54342.0,53655.0,0.0021
2015-06-23,53772.0,53865.0,54361.0,53772.0,-0.0017
2015-06-24,53843.0,53772.0,54236.0,53628.0,0.0013
2015-06-25,53176.0,53840.0,53840.0,52879.0,-0.0124
2015-06-26,54017.0,53181.0,54076.0,53151.0,0.0158
2015-06-29,53014.0,54013.0,54013.0,52647.0,-0.0186
2015-06-30,53081.0,53014.0,53345.0,52812.0,0.0013
2015-07-01,52758.0,53081.0,53456.0,52603.0,-0.0061
2015-07-02,53106.0,52758.0,53357.0,52758.0,0.0066
2015-07-03,52519.0,53106.0,53106.0,52370.0,-0.0111
2015-07-06,52149.0,52510.0,52679.0,51683.0,-0.007
2015-07-07,52344.0,52149.0,52388.0,51130.0,0.0037
2015-07-08,51782.0,52343.0,52468.0,51574.0,-0.0107
2015-07-10,52591.0,51782.0,52786.0,51782.0,0.0156
2015-07-13,53119.0,52591.0,53164.0,52591.0,0.01
2015-07-14,53239.0,53119.0,53416.0,52653.0,0.0023
2015-07-15,52902.0,53239.0,53334.0,52790.0,-0.0063
2015-07-16,53070.0,52902.0,53417.0,52714.0,0.0032
2015-07-17,52342.0,53070.0,53310.0,52221.0,-0.0137
2015-07-20,51600.0,52341.0,52424.0,51525.0,-0.0142
2015-07-21,51474.0,51603.0,51998.0,51244.0,-0.0024
2015-07-22,50916.0,51474.0,51474.0,50592.0,-0.0108
2015-07-23,49807.0,50916.0,51063.0,49668.0,-0.0218
2015-07-24,49246.0,49804.0,49831.0,48624.0,-0.0113
2015-07-27,48736.0,49246.0,49298.0,48640.0,-0.0104
2015-07-28,49602.0,48740.0,49871.0,48740.0,0.0178
2015-07-29,50245.0,49602.0,50333.0,49422.0,0.013
2015-07-30,49897.0,50245.0,50645.0,49612.0,-0.0069
2015-07-31,50865.0,49897.0,50895.0,49892.0,0.0194
2015-08-03,50138.0,50867.0,50867.0,50054.0,-0.0143
2015-08-04,50058.0,50138.0,50574.0,49827.0,-0.0016
2015-08-05,50287.0,50067.0,50853.0,50067.0,0.0046
2015-08-06,50011.0,50280.0,50534.0,49624.0,-0.0055
2015-08-07,48577.0,50013.0,50013.0,48512.0,-0.0287
2015-08-10,49353.0,48578.0,49512.0,48578.0,0.016
2015-08-11,49072.0,49340.0,49340.0,48306.0,-0.0057
2015-08-12,48388.0,49064.0,49064.0,48028.0,-0.0139
2015-08-13,48010.0,48390.0,48606.0,47722.0,-0.0078
2015-08-14,47508.0,48010.0,48186.0,47508.0,-0.0105
2015-08-17,47217.0,47509.0,47788.0,47217.0,-0.0061
2015-08-18,47451.0,47220.0,48084.0,46676.0,0.005
2015-08-19,46588.0,47451.0,47451.0,45977.0,-0.0182
2015-08-20,46649.0,46588.0,46781.0,46030.0,0.0013
2015-08-21,45720.0,46649.0,46649.0,45677.0,-0.0199
2015-08-24,44336.0,45715.0,45715.0,42749.0,-0.0303
2015-08-25,44545.0,44338.0,45588.0,44338.0,0.0047
2015-08-26,46038.0,44546.0,46039.0,44540.0,0.0335
2015-08-27,47715.0,46038.0,47997.0,46038.0,0.0364
2015-08-28,47154.0,47697.0,47872.0,46847.0,-0.0118
2015-08-31,46626.0,47151.0,47151.0,45570.0,-0.0112
2015-09-01,45477.0,46625.0,46625.0,45278.0,-0.0246
2015-09-02,46464.0,45484.0,46474.0,45445.0,0.0217
2015-09-03,47366.0,46468.0,47532.0,46279.0,0.0194
2015-09-04,46498.0,47366.0,47377.0,46320.0,-0.0183
2015-09-08,46762.0,46501.0,47243.0,46497.0,0.0057
2015-09-09,46657.0,46762.0,47840.0,46614.0,-0.0022
2015-09-10,46504.0,46656.0,46819.0,45592.0,-0.0033
2015-09-11,46401.0,46509.0,46558.0,46176.0,-0.0022
2015-09-14,47282.0,46400.0,47386.0,46218.0,0.019
2015-09-15,47364.0,47281.0,47689.0,46746.0,0.0017
2015-09-16,48553.0,47364.0,48681.0,47364.0,0.0251
2015-09-17,48551.0,48553.0,49396.0,48082.0,0.0
2015-09-18,47264.0,48550.0,48550.0,46928.0,-0.0265
2015-09-21,46590.0,47263.0,47391.0,46425.0,-0.0143
2015-09-22,46265.0,46585.0,46585.0,45276.0,-0.007
2015-09-23,45340.0,46263.0,46480.0,45340.0,-0.02
2015-09-24,45292.0,45340.0,45572.0,44183.0,-0.0011
2015-09-25,44831.0,45300.0,45969.0,44697.0,-0.0102
2015-09-28,43957.0,44832.0,44832.0,43767.0,-0.0195
2015-09-29,44132.0,43956.0,44531.0,43956.0,0.004
2015-09-30,45059.0,44132.0,45294.0,44132.0,0.021
2015-10-01,45313.0,45064.0,45547.0,44789.0,0.0056
2015-10-02,47033.0,45313.0,47033.0,44973.0,0.038
2015-10-05,47598.0,47033.0,48081.0,47019.0,0.012
2015-10-06,47735.0,47598.0,48092.0,47389.0,0.0029
2015-10-07,48914.0,47735.0,49290.0,47715.0,0.0247
2015-10-08,49107.0,48915.0,49247.0,48658.0,0.0039
2015-10-09,49338.0,49105.0,49752.0,48698.0,0.0047
2015-10-13,47363.0,49339.0,49339.0,47135.0,-0.04
2015-10-14,46710.0,47349.0,47715.0,46701.0,-0.0138
2015-10-15,47161.0,46730.0,47188.0,46321.0,0.0097
2015-10-16,47236.0,47161.0,47727.0,46517.0,0.0016
2015-10-19,47447.0,47242.0,47536.0,46917.0,0.0045
2015-10-20,47077.0,47447.0,47728.0,46623.0,-0.0078
2015-10-21,47026.0,47077.0,47274.0,46654.0,-0.0011
2015-10-22,47772.0,47027.0,47909.0,47027.0,0.0159
2015-10-23,47597.0,47774.0,48837.0,47502.0,-0.0037
2015-10-26,47209.0,47607.0,47875.0,47105.0,-0.0082
2015-10-27,47043.0,47205.0,47338.0,46742.0,-0.0035
2015-10-28,46741.0,47038.0,47441.0,46388.0,-0.0064
2015-10-29,45628.0,46740.0,46740.0,45628.0,-0.0238
2015-10-30,45869.0,45628.0,45975.0,45401.0,0.0053
2015-11-03,48054.0,45869.0,48054.0,45866.0,0.0476
2015-11-04,47710.0,48059.0,49054.0,47441.0,-0.0072
2015-11-05,48047.0,47712.0,48061.0,47430.0,0.0071
2015-11-06,46919.0,48046.0,48046.0,46397.0,-0.0235
2015-11-09,46195.0,46915.0,47001.0,46057.0,-0.0154
2015-11-10,46207.0,46195.0,46207.0,45397.0,0.0003
2015-11-11,47065.0,46207.0,47231.0,46207.0,0.0186
2015-11-12,46884.0,47065.0,47460.0,46696.0,-0.0038
2015-11-13,46517.0,46884.0,46884.0,46311.0,-0.0078
2015-11-16,46847.0,46519.0,46905.0,46399.0,0.0071
2015-11-17,47248.0,46848.0,47698.0,46848.0,0.0086
2015-11-18,47436.0,47241.0,47951.0,47241.0,0.004
2015-11-19,48139.0,47437.0,48227.0,47437.0,0.0148
2015-11-23,48150.0,48138.0,48745.0,47988.0,0.0002
2015-11-24,48284.0,48143.0,48320.0,47442.0,0.0028
2015-11-25,46867.0,48270.0,48270.0,46742.0,-0.0293
2015-11-26,47146.0,46867.0,47199.0,46867.0,0.006
2015-11-27,45873.0,47144.0,47144.0,45812.0,-0.027
2015-11-30,45120.0,45871.0,45931.0,45106.0,-0.0164
2015-12-01,45047.0,45121.0,45482.0,44775.0,-0.0016
2015-12-02,44915.0,45046.0,45338.0,44579.0,-0.0029
2015-12-03,46393.0,44923.0,47142.0,44923.0,0.0329
2015-12-04,45361.0,46385.0,46385.0,45023.0,-0.0222
2015-12-07,45223.0,45361.0,46157.0,45217.0,-0.003
2015-12-08,44443.0,45223.0,45233.0,44232.0,-0.0172
2015-12-09,46108.0,44444.0,46438.0,44444.0,0.0375
2015-12-10,45631.0,46084.0,46323.0,45351.0,-0.0103
2015-12-11,45263.0,45630.0,45981.0,45068.0,-0.0081
2015-12-14,44747.0,45258.0,45258.0,44531.0,-0.0114
2015-12-15,44872.0,44748.0,45423.0,44748.0,0.0028
2015-12-16,45016.0,44868.0,45099.0,44095.0,0.0032
2015-12-17,45261.0,45016.0,46251.0,45016.0,0.0054
2015-12-18,43911.0,45249.0,45249.0,43690.0,-0.0298
2015-12-21,43200.0,43912.0,44223.0,43196.0,-0.0162
2015-12-22,43470.0,43208.0,43632.0,43137.0,0.0063
2015-12-23,44015.0,43479.0,44233.0,43479.0,0.0125
2015-12-28,43764.0,44016.0,44087.0,43709.0,-0.0057
2015-12-29,43654.0,43781.0,44042.0,43523.0,-0.0025
2015-12-30,43350.0,43653.0,43662.0,43217.0,-0.007
2016-01-04,42141.0,43349.0,43349.0,42125.0,-0.0279
2016-01-05,42419.0,42139.0,42534.0,42137.0,0.0066
2016-01-06,41773.0,42410.0,42410.0,41590.0,-0.0152
2016-01-07,40695.0,41772.0,41772.0,40695.0,-0.0258
2016-01-08,40612.0,40695.0,41218.0,40463.0,-0.002
2016-01-11,39950.0,40612.0,40974.0,39924.0,-0.0163
2016-01-12,39514.0,39955.0,40261.0,39426.0,-0.0109
2016-01-13,38944.0,39518.0,40050.0,38822.0,-0.0144
2016-01-14,39500.0,38944.0,39502.0,38459.0,0.0143
2016-01-15,38569.0,39494.0,39494.0,37986.0,-0.0236
2016-01-18,37937.0,38572.0,38633.0,37937.0,-0.0164
2016-01-19,38057.0,37941.0,38857.0,37941.0,0.0032
2016-01-20,37645.0,38056.0,38056.0,37046.0,-0.0108
2016-01-21,37717.0,37647.0,38079.0,37495.0,0.0019
2016-01-22,38031.0,37737.0,38444.0,37737.0,0.0083
2016-01-26,37497.0,38031.0,38031.0,37112.0,-0.014
2016-01-27,38376.0,37501.0,38766.0,37402.0,0.0234
2016-01-28,38630.0,38376.0,39100.0,37996.0,0.0066
2016-01-29,40406.0,38635.0,40406.0,38635.0,0.046
2016-02-01,40570.0,40397.0,40570.0,39738.0,0.0041
2016-02-02,38596.0,40564.0,40564.0,38596.0,-0.0487
2016-02-03,39589.0,38597.0,39726.0,38597.0,0.0257
2016-02-04,40822.0,39589.0,41444.0,39589.0,0.0311
2016-02-05,40592.0,40812.0,41249.0,40566.0,-0.0056
2016-02-10,40377.0,40592.0,40592.0,39960.0,-0.0053
2016-02-11,39318.0,40370.0,40370.0,38928.0,-0.0262
2016-02-12,39808.0,39324.0,39901.0,39324.0,0.0125
2016-02-15,40093.0,39808.0,40671.0,39808.0,0.0072
2016-02-16,40948.0,40093.0,41206.0,40074.0,0.0213
2016-02-17,41631.0,40958.0,42436.0,40958.0,0.0167
2016-02-18,41478.0,41624.0,41698.0,41183.0,-0.0037
2016-02-19,41543.0,41477.0,41828.0,41071.0,0.0016
2016-02-22,43235.0,41544.0,43345.0,41544.0,0.0407
2016-02-23,42521.0,43235.0,43601.0,42359.0,-0.0165
2016-02-24,42085.0,42521.0,42521.0,41211.0,-0.0103
2016-02-25,41888.0,42084.0,42327.0,41442.0,-0.0047
2016-02-26,41593.0,41889.0,42495.0,41417.0,-0.007
2016-02-29,42794.0,41599.0,43053.0,41599.0,0.0289
2016-03-01,44122.0,42795.0,44181.0,42795.0,0.031
2016-03-02,44893.0,44122.0,44983.0,43841.0,0.0175
2016-03-03,47193.0,44900.0,47375.0,44900.0,0.0512
2016-03-04,49085.0,47194.0,50024.0,47194.0,0.0401
2016-03-07,49246.0,49089.0,49639.0,48746.0,0.0033
2016-03-08,49102.0,49244.0,49914.0,48847.0,-0.0029
2016-03-09,48665.0,49102.0,50001.0,48623.0,-0.0089
2016-03-10,49571.0,48667.0,49974.0,47922.0,0.0186
2016-03-11,49639.0,49574.0,50038.0,49156.0,0.0014
2016-03-14,48867.0,49639.0,50166.0,48757.0,-0.0156
2016-03-15,47130.0,48866.0,48866.0,46684.0,-0.0355
2016-03-16,47763.0,47130.0,47814.0,46521.0,0.0134
2016-03-17,50914.0,47770.0,51268.0,47770.0,0.066
2016-03-18,50815.0,50915.0,51308.0,50202.0,-0.0019
2016-03-21,51172.0,50816.0,51370.0,50765.0,0.007
2016-03-22,51010.0,51170.0,51215.0,50812.0,-0.0032
2016-03-23,49690.0,51005.0,51005.0,49491.0,-0.0259
2016-03-24,49657.0,49686.0,49686.0,48778.0,-0.0007
2016-03-28,50838.0,49687.0,51149.0,49687.0,0.0238
2016-03-29,51155.0,50839.0,51765.0,50387.0,0.0062
2016-03-30,51249.0,51155.0,52262.0,50900.0,0.0018
2016-03-31,50055.0,51248.0,51248.0,49642.0,-0.0233
2016-04-01,50562.0,50054.0,50768.0,49361.0,0.0101
2016-04-04,48780.0,50556.0,50556.0,48600.0,-0.0352
2016-04-05,49054.0,48778.0,49629.0,48149.0,0.0056
2016-04-06,48096.0,49054.0,49054.0,47874.0,-0.0195
2016-04-07,48513.0,48099.0,48940.0,48099.0,0.0087
2016-04-08,50293.0,48517.0,50486.0,48517.0,0.0367
2016-04-11,50165.0,50303.0,51089.0,50078.0,-0.0025
2016-04-12,52002.0,50166.0,52327.0,50166.0,0.0366
2016-04-13,53150.0,52010.0,53844.0,52010.0,0.0221
2016-04-14,52411.0,53150.0,53699.0,52242.0,-0.0139
2016-04-15,53228.0,52414.0,53390.0,52414.0,0.0156
2016-04-18,52894.0,53229.0,53479.0,52305.0,-0.0063
2016-04-19,53710.0,52894.0,54054.0,52894.0,0.0154
2016-04-20,53631.0,53711.0,53857.0,53149.0,-0.0015
2016-04-22,52908.0,53630.0,53630.0,52629.0,-0.0135
2016-04-25,51862.0,52911.0,52949.0,51748.0,-0.0198
2016-04-26,53083.0,51867.0,53108.0,51838.0,0.0235
2016-04-27,54478.0,53094.0,54560.0,53094.0,0.0263
2016-04-28,54312.0,54475.0,54978.0,53963.0,-0.003
2016-04-29,53911.0,54317.0,54705.0,53592.0,-0.0074
2016-05-02,53562.0,53910.0,54113.0,53265.0,-0.0065
2016-05-03,52260.0,53557.0,53557.0,52260.0,-0.0243
2016-05-04,52553.0,52253.0,52672.0,51931.0,0.0056
2016-05-05,51671.0,52569.0,53071.0,51311.0,-0.0168
2016-05-06,51718.0,51671.0,52159.0,51204.0,0.0009
2016-05-09,50990.0,51717.0,51717.0,49908.0,-0.0141
2016-05-10,53071.0,50994.0,53071.0,50994.0,0.0408
2016-05-11,52764.0,53072.0,53976.0,52736.0,-0.0058
2016-05-12,53241.0,52765.0,53798.0,52424.0,0.009
2016-05-13,51804.0,53236.0,53250.0,51366.0,-0.027
2016-05-16,51803.0,51803.0,52305.0,51585.0,0.0
2016-05-17,50839.0,51795.0,51946.0,50689.0,-0.0186
2016-05-18,50562.0,50836.0,51373.0,50301.0,-0.0054
2016-05-19,50133.0,50556.0,50556.0,49588.0,-0.0085
2016-05-20,49723.0,50133.0,50822.0,49723.0,-0.0082
2016-05-23,49330.0,49709.0,49709.0,48695.0,-0.0079
2016-05-24,49345.0,49330.0,50002.0,49153.0,0.0003
2016-05-25,49483.0,49347.0,50357.0,49347.0,0.0028
2016-05-27,49051.0,49481.0,49805.0,48869.0,-0.0087
2016-05-30,48964.0,49051.0,49203.0,48799.0,-0.0018
2016-05-31,48472.0,48963.0,49269.0,48292.0,-0.01
2016-06-01,49013.0,48468.0,49057.0,48200.0,0.0112
2016-06-02,49887.0,49008.0,49906.0,48781.0,0.0178
2016-06-03,50619.0,49888.0,50634.0,49888.0,0.0147
2016-06-06,50432.0,50627.0,50924.0,50097.0,-0.0037
2016-06-07,50488.0,50432.0,50641.0,50005.0,0.0011
2016-06-08,51629.0,50490.0,51812.0,50490.0,0.0226
2016-06-09,51118.0,51633.0,51633.0,50832.0,-0.0099
2016-06-10,49422.0,51117.0,51117.0,49421.0,-0.0332
2016-06-13,49661.0,49419.0,49764.0,48804.0,0.0048
2016-06-14,48648.0,49662.0,49894.0,48216.0,-0.0204
2016-06-15,48915.0,48649.0,49415.0,48324.0,0.0055
2016-06-16,49412.0,48901.0,49412.0,48067.0,0.0102
2016-06-17,49534.0,49409.0,50191.0,49405.0,0.0025
2016-06-20,50329.0,49539.0,50782.0,49539.0,0.016
2016-06-21,50838.0,50326.0,50870.0,49678.0,0.0101
2016-06-22,50156.0,50835.0,51239.0,50060.0,-0.0134
2016-06-23,51560.0,50161.0,51673.0,50161.0,0.028
2016-06-24,50105.0,51561.0,51561.0,49544.0,-0.0282
2016-06-27,49246.0,50106.0,50162.0,48954.0,-0.0171
2016-06-28,50007.0,49252.0,50301.0,49252.0,0.0155
2016-06-29,51002.0,50009.0,51229.0,50009.0,0.0199
2016-06-30,51527.0,51001.0,51619.0,50585.0,0.0103
2016-07-01,52233.0,51540.0,52346.0,51411.0,0.0137
2016-07-04,52569.0,52241.0,52918.0,52241.0,0.0064
2016-07-05,51842.0,52565.0,52565.0,51510.0,-0.0138
2016-07-06,51902.0,51842.0,51909.0,50825.0,0.0012
2016-07-07,52015.0,51902.0,52719.0,51888.0,0.0022
2016-07-08,53141.0,52020.0,53166.0,52020.0,0.0216
2016-07-11,53960.0,53143.0,54021.0,53143.0,0.0154
2016-07-12,54256.0,53961.0,54746.0,53961.0,0.0055
2016-07-13,54598.0,54256.0,54647.0,53733.0,0.0063
2016-07-14,55481.0,54601.0,55634.0,54601.0,0.0162
2016-07-15,55578.0,55482.0,55649.0,55233.0,0.0017
2016-07-18,56484.0,55573.0,56509.0,55355.0,0.0163
2016-07-19,56698.0,56487.0,56698.0,56246.0,0.0038
2016-07-20,56578.0,56699.0,56927.0,56221.0,-0.0021
2016-07-21,56641.0,56578.0,56906.0,56233.0,0.0011
2016-07-22,57002.0,56641.0,57171.0,56518.0,0.0064
2016-07-25,56873.0,57006.0,57205.0,56398.0,-0.0023
2016-07-26,56783.0,56876.0,57309.0,56708.0,-0.0016
2016-07-27,56853.0,56788.0,57380.0,56788.0,0.0012
2016-07-28,56667.0,56853.0,56853.0,55993.0,-0.0033
2016-07-29,57308.0,56664.0,57474.0,56340.0,0.0113
2016-08-01,56756.0,57309.0,57729.0,56676.0,-0.0096
2016-08-02,56162.0,56756.0,56974.0,55696.0,-0.0105
2016-08-03,57077.0,56157.0,57101.0,55788.0,0.0163
2016-08-04,57594.0,57076.0,58030.0,57076.0,0.0091
2016-08-05,57661.0,57609.0,57951.0,57290.0,0.0012
2016-08-08,57635.0,57655.0,57917.0,57504.0,-0.0005
2016-08-09,57689.0,57637.0,58095.0,57615.0,0.0009
2016-08-10,56920.0,57690.0,57953.0,56735.0,-0.0133
2016-08-11,58300.0,56925.0,58308.0,56923.0,0.0242
2016-08-12,58298.0,58300.0,58753.0,57987.0,0.0
2016-08-15,59146.0,58316.0,59324.0,58316.0,0.0145
2016-08-16,58855.0,59144.0,59187.0,58589.0,-0.0049
2016-08-17,59324.0,58847.0,59324.0,58081.0,0.008
2016-08-18,59166.0,59324.0,59418.0,58829.0,-0.0027
2016-08-19,59099.0,59158.0,59240.0,58599.0,-0.0011
2016-08-22,57781.0,59080.0,59099.0,57631.0,-0.0223
2016-08-23,58020.0,57781.0,58596.0,57781.0,0.0041
2016-08-24,57718.0,58019.0,58332.0,57456.0,-0.0052
2016-08-25,57722.0,57718.0,58124.0,57639.0,0.0001
2016-08-26,57716.0,57725.0,58655.0,57259.0,-0.0001
2016-08-29,58610.0,57717.0,58957.0,57642.0,0.0155
2016-08-30,58575.0,58610.0,58882.0,58293.0,-0.0006
2016-08-31,57901.0,58580.0,58910.0,57506.0,-0.0115
2016-09-01,58236.0,57901.0,58417.0,57638.0,0.0058
2016-09-02,59616.0,58241.0,59655.0,58241.0,0.0237
2016-09-05,59566.0,59616.0,59986.0,59402.0,-0.0008
2016-09-06,60129.0,59566.0,60129.0,59182.0,0.0095
2016-09-08,60232.0,60129.0,60310.0,59743.0,0.0017
2016-09-09,58000.0,60220.0,60220.0,57961.0,-0.0371
2016-09-12,58586.0,57998.0,58595.0,57511.0,0.0101
2016-09-13,56821.0,58580.0,58580.0,56459.0,-0.0301
2016-09-14,57059.0,56812.0,57342.0,56694.0,0.0042
2016-09-15,57909.0,57068.0,58127.0,57068.0,0.0149
2016-09-16,57080.0,57909.0,57909.0,56794.0,-0.0143
2016-09-19,57350.0,57083.0,58025.0,57083.0,0.0047
2016-09-20,57736.0,57356.0,57902.0,57356.0,0.0067
2016-09-21,58394.0,57736.0,58575.0,57326.0,0.0114
2016-09-22,58994.0,58408.0,59462.0,58408.0,0.0103
2016-09-23,58697.0,58992.0,59131.0,58409.0,-0.005
2016-09-26,58054.0,58697.0,58697.0,57904.0,-0.011
2016-09-27,58382.0,58066.0,58490.0,57411.0,0.0056
2016-09-28,59356.0,58383.0,59415.0,58353.0,0.0167
